ID,Name,Energy,Loudness,Speechiness,Instrumentalness,Type,time_signature
3GPdfXyHRWKPjgIDZLyibH,QuienPiensaEnTi,0.919,-3.524,0.0404,0.000907,audio_features,4
6l9jE3IjRJDicXvmSXYA1H,HastaElSolDeHoy,0.738,-9.335,0.0322,7.62E-05,audio_features,4
1h85agWF8q3Y9QCThGP01Q,MeNiegasTantoAmor,0.758,-6.554,0.0386,0,audio_features,4
5giBWdb2pJwFl3avFUKGXj,FabricandoFantasías-SalsaVersion,0.864,-3.422,0.041,0,audio_features,4
5YfqVqJwjxiyhxvofbCnHp,ConteoRegresivo-SalsaVersion,0.72,-6.162,0.0803,0,audio_features,4
3dUOVExxPh0nmE6DtYVWIE,AmoresComoelNuestro,0.59,-11.839,0.0483,0.0432,audio_features,4
5Ba4YFq13YdsTosd7mwqzi,Lluvia,0.748,-7.895,0.0378,3.43E-05,audio_features,4
6VQ2fI8goSX8mpSvytXkXR,Idilio,0.715,-8.309,0.0398,0.00622,audio_features,4
14ZtWHRc05sX1qy4dL89ID,CasiTeEnvidio,0.712,-5.815,0.0705,0,audio_features,4
05K2YWeCYYBgPWFj8TT4uK,Conciencia,0.691,-6.873,0.0414,6.05E-06,audio_features,4
236qXqcmitHCZ3SHoGZN8g,HeTratado,0.815,-6.173,0.074,4.09E-05,audio_features,4
0amRhMUb9wYrDOmSD938AQ,TuVidaenlaMía,0.864,-3.16,0.0339,0.000309,audio_features,4
3fRIuTih8bzc0vtY9fHhvF,TalentoDeTelevisión,0.796,-6.675,0.0434,3.99E-05,audio_features,4
4hgk2iBQfSupmzye4LfTQE,DeMíEnamórate,0.865,-6.232,0.0352,1.95E-05,audio_features,4
5MhLjE5KvAfqFx8hxQi3eW,Aparentemente,0.828,-9.308,0.0405,1.34E-05,audio_features,4
4hw32LMr5RoeKQl0Kvh20e,CasiunHechizo,0.715,-3.052,0.0409,1.18E-05,audio_features,4
0LIZVQBQtDi4lLhB83qJIp,VivirLoNuestro,0.681,-6.332,0.0463,0,audio_features,4
6jCo1ni2ikRL8DWuegc92I,TuConEl,0.791,-5.647,0.0498,0.000691,audio_features,4
0gVmUkRX09cY5uNPSI74JC,TengoGanas,0.86,-3.631,0.0376,0,audio_features,4
3tdWq4q1FF9SSSDdnbfNWS,LoMíoEsAmor,0.869,-5.849,0.0353,0,audio_features,4
2HbmLkHkkI15eES8kpWRuI,VenDevórameOtraVez,0.602,-9.28,0.0438,8.62E-05,audio_features,4
7asA65gTrIQW706DL39dLP,MiMayorVenganza,0.719,-7.895,0.057,3.32E-05,audio_features,4
1FcUm2UbruVWMqQxzDhRWH,SiempreSeré,0.693,-6.289,0.031,0,audio_features,4
1OIfhmTXZWuKLibFKe5RFd,TúMeVuelvesLoco,0.776,-5.863,0.032,0,audio_features,4
3AjxOdecZ2eKDL0aOtcYsJ,CambiodePiel,0.874,-3.097,0.0409,4.20E-06,audio_features,4
5yGzJ9gphxtII2eoI1Qj9t,LocoPeroFeliz,0.846,-4.207,0.0336,0,audio_features,4
3vFxhY2ejPkBPPI8tTFB1V,EseHombre,0.722,-9.023,0.103,0.000192,audio_features,4
6p8Dt5ofRsmwhBSYhDwMRS,ArrozConHabichuela,0.697,-6.521,0.0598,0.00027,audio_features,4
0TgbqQpWj06HsIREGbJoOi,SalsaPa\OlvidarlasPenas(feat.GilbertoSantaRosa),0.888,-2.989,0.128,0,audio_features,4
5A32KQZznC2HSqr9qzTl2N,AhoraQuien-SalsaVersion,0.632,-4.837,0.0782,0,audio_features,4
60HG3jOvvG7XITdy6F06el,FuegoEnEl23,0.604,-6.339,0.0353,0.000562,audio_features,4
6PT8TupAmSIP42aOj7TQLk,CincoNoches,0.744,-4.784,0.0434,0.000622,audio_features,4
0EvqtUYBpFOtAGrfWI2DtL,Payaso,0.494,-10.265,0.0402,0,audio_features,4
3Hv1DCU3Z0mPJa7UjqD0IG,PeriodicoDeAyer,0.583,-7.181,0.0294,0.134,audio_features,4
734AX6t02v4SNG1bkhNxT9,ElMenú,0.685,-7.491,0.042,0.000226,audio_features,4
6vuWGCNmi4tXfhHKNoLIgo,ComerteaBesos-SalsaVersion,0.848,-5.214,0.0698,0,audio_features,4
67hHhKVp67fqRwE0OehlnX,SeñoraDeMadrugada,0.682,-9.085,0.0327,9.74E-06,audio_features,4
7kFyyZup2X8HkOjgrj7rn1,Aguzate,0.644,-9.596,0.0377,0.00943,audio_features,4
